ZipCode,Latitude,Longitude,State,City,County Name,CountyFIPS,StateFIPS
61743,40.87942,-88.782503,IL,GRAYMONT,LIVINGSTON,105,17
19492,40.281712,-75.495455,PA,ZIEGLERVILLE,MONTGOMERY,91,42
41651,37.466465,-82.759142,KY,MINNIE,FLOYD,71,21
46943,40.972871,-85.843297,IN,LAKETON,WABASH,169,18
37351,35.103807,-85.264311,TN,LUPTON CITY,HAMILTON,65,47
19478,40.277123,-75.458421,PA,SPRING MOUNT,MONTGOMERY,91,42
16427,41.875478,-79.972372,PA,MILL VILLAGE,ERIE,49,42
40941,37.182722,-83.65145,KY,GARRARD,CLAY,51,21
54536,46.337802,-90.347343,WI,IRON BELT,IRON,51,55
79239,34.648078,-100.769241,TX,LAKEVIEW,HALL,191,48
58266,47.984278,-97.849478,ND,NIAGARA,GRAND FORKS,35,38
62631,39.819171,-90.361976,IL,CONCORD,MORGAN,137,17
12844,43.489773,-73.62117,NY,KATTSKILL BAY,WARREN,113,36
5649,44.14781,-72.39487,VT,EAST BARRE,WASHINGTON,23,50
74468,35.630838,-95.601134,OK,WAINWRIGHT,MUSKOGEE,101,40
83223,42.18267,-111.431964,ID,BLOOMINGTON,BEAR LAKE,7,16
99346,46.002846,-119.288998,WA,PLYMOUTH,BENTON,5,53
49960,46.748625,-89.17168,MI,ROCKLAND,ONTONAGON,131,26
87583,35.298798,-105.341844,NM,VILLANUEVA,SAN MIGUEL,47,35
58549,46.458032,-99.927613,ND,KINTYRE,EMMONS,29,38
57265,44.959338,-96.783611,SD,STRANDBURG,GRANT,51,46
56166,44.210107,-95.396506,MN,REVERE,REDWOOD,127,27
50531,43.450219,-94.620266,IA,DOLLIVER,EMMET,63,19
16110,41.494537,-80.38227,PA,ADAMSVILLE,CRAWFORD,39,42
16727,41.979435,-78.536997,PA,DERRICK CITY,MCKEAN,83,42
55786,47.312293,-93.38176,MN,TACONITE,ITASCA,61,27
85931,34.425916,-110.91132,AZ,FOREST LAKES,COCONINO,5,4
89834,41.161586,-116.615658,NV,TUSCARORA,ELKO,7,32
80830,39.091126,-103.871552,CO,MATHESON,ELBERT,39,8
84051,40.229246,-110.69694,UT,MOUNTAIN HOME,DUCHESNE,13,49
62319,40.163377,-90.754306,IL,CAMDEN,SCHUYLER,169,17
26731,39.22335,-79.098138,WV,LAHMANSVILLE,GRANT,23,54
41736,37.377876,-83.159924,KY,DICE,PERRY,193,21
19511,40.487016,-75.740994,PA,BOWERS,BERKS,11,42
24867,37.577435,-81.490656,WV,NEW RICHMOND,WYOMING,109,54
29079,34.29761,-80.104732,SC,LYDIA,DARLINGTON,31,45
48630,44.324939,-84.775439,MI,HOUGHTON LAKE HEIGHTS,ROSCOMMON,143,26
72074,35.04518,-91.106364,AR,HUNTER,WOODRUFF,147,5
73487,34.477414,-97.457098,OK,TATUMS,CARTER,19,40
87543,36.105662,-105.654159,NM,LLANO,TAOS,55,35
68972,40.132607,-98.839267,NE,RIVERTON,FRANKLIN,61,31
24884,37.25994,-81.575612,WV,SQUIRE,MCDOWELL,47,54
12036,42.540411,-74.68345,NY,CHARLOTTEVILLE,SCHOHARIE,95,36
8073,40.010161,-74.86302,NJ,RANCOCAS,BURLINGTON,5,34
15520,40.120255,-79.063428,PA,ACOSTA,SOMERSET,111,42
15847,41.082621,-79.025082,PA,KNOX DALE,JEFFERSON,65,42
17010,40.279386,-76.580126,PA,CAMPBELLTOWN,LEBANON,75,42
47455,39.312455,-86.956282,IN,PATRICKSBURG,OWEN,119,18
72367,34.191335,-91.04746,AR,MELLWOOD,PHILLIPS,107,5
67028,37.514009,-98.902923,KS,COATS,PRATT,151,20
22538,38.20372,-77.244974,VA,RAPPAHANNOCK ACADEMY,CAROLINE,33,51
71425,31.889204,-91.865858,LA,ENTERPRISE,CATAHOULA,25,22
26285,38.929424,-79.9777,WV,NORTON,RANDOLPH,83,54
49748,46.363939,-85.135088,MI,HULBERT,CHIPPEWA,33,26
66782,37.287918,-94.927887,KS,WEST MINERAL,CHEROKEE,21,20
74358,36.917278,-94.880861,OK,NORTH MIAMI,OTTAWA,115,40
67643,39.654031,-100.29228,KS,JENNINGS,DECATUR,39,20
80757,39.819866,-103.578985,CO,WOODROW,WASHINGTON,121,8
67736,38.851471,-100.484815,KS,GOVE,GOVE,63,20
12855,44.011553,-73.819733,NY,NORTH HUDSON,ESSEX,31,36
67418,39.17577,-98.097854,KS,BARNARD,LINCOLN,105,20
58277,47.629392,-97.920772,ND,SHARON,STEELE,91,38
68834,41.003257,-99.703829,NE,EDDYVILLE,DAWSON,47,31
58269,48.6449,-98.252991,ND,OSNABROCK,CAVALIER,19,38
72721,35.844978,-93.814344,AR,COMBS,MADISON,87,5
56657,47.56186,-93.626418,MN,MARCELL,ITASCA,61,27
66741,37.722628,-94.678789,KS,GARLAND,BOURBON,11,20
25837,38.048798,-81.042207,WV,EDMOND,FAYETTE,19,54
63955,36.578468,-90.687654,MO,OXLY,RIPLEY,181,29
28072,35.616452,-80.444174,NC,GRANITE QUARRY,ROWAN,159,37
28089,35.316683,-81.667995,NC,LATTIMORE,CLEVELAND,45,37
46930,40.406624,-85.567488,IN,FOWLERTON,GRANT,53,18
98834,48.076586,-120.052444,WA,METHOW,OKANOGAN,47,53
57541,43.606897,-99.957072,SD,IDEAL,TRIPP,123,46
67751,39.002616,-100.343338,KS,PARK,GOVE,63,20
95385,37.63,-121.249776,CA,VERNALIS,SAN JOAQUIN,77,6
57047,43.494021,-97.211608,SD,MONROE,TURNER,125,46
65354,38.639096,-92.887456,MO,SYRACUSE,MORGAN,141,29
25028,37.958127,-81.726367,WV,BOB WHITE,BOONE,5,54
89141,35.990387,-115.211564,NV,LAS VEGAS,CLARK,3,32
36556,31.210047,-87.973292,AL,MALCOLM,WASHINGTON,129,1
38765,33.067041,-90.88442,MS,PANTHER BURN,SHARKEY,125,28
61519,40.47057,-90.058587,IL,BRYANT,FULTON,57,17
62459,38.929688,-88.027646,IL,SAINTE MARIE,JASPER,79,17
89422,38.202448,-118.278387,NV,MINA,MINERAL,21,32
88132,33.952872,-103.189859,NM,ROGERS,ROOSEVELT,41,35
66870,37.880502,-96.051989,KS,VIRGIL,GREENWOOD,73,20
78883,29.670852,-99.290873,TX,TARPLEY,BANDERA,19,48
67675,39.437635,-99.100935,KS,WOODSTON,ROOKS,163,20
58479,47.095707,-98.182135,ND,ROGERS,BARNES,3,38
68929,40.13281,-99.009708,NE,BLOOMINGTON,FRANKLIN,61,31
24487,38.166228,-79.648828,VA,WILLIAMSVILLE,BATH,17,51
68350,40.045045,-97.086113,NE,ENDICOTT,JEFFERSON,95,31
26203,38.549158,-80.577812,WV,ERBACON,WEBSTER,101,54
87580,36.576802,-105.510998,NM,VALDEZ,TAOS,55,35
12435,41.728331,-74.52679,NY,GREENFIELD PARK,ULSTER,111,36
18601,41.072107,-76.162906,PA,BEACH HAVEN,LUZERNE,79,42
29656,34.622424,-82.764627,SC,LA FRANCE,ANDERSON,7,45
46216,39.861183,-86.013226,IN,INDIANAPOLIS,MARION,97,18
19554,40.510797,-76.114815,PA,SHARTLESVILLE,BERKS,11,42
23347,37.350994,-75.939361,VA,EASTVILLE,NORTHAMPTON,131,51
38644,34.42596,-90.451554,MS,LULA,COAHOMA,27,28
76253,33.622316,-97.315868,TX,MYRA,COOKE,97,48
88052,32.455084,-106.59802,NM,ORGAN,DONA ANA,13,35
96011,41.053398,-121.934933,CA,BIG BEND,SHASTA,89,6
58756,47.978935,-101.78818,ND,MAKOTI,WARD,101,38
12725,41.959556,-74.542036,NY,CLARYVILLE,SULLIVAN,105,36
67105,37.256546,-97.638076,KS,MILAN,SUMNER,191,20
93603,36.60697,-118.900937,CA,BADGER,TULARE,107,6
17763,41.506277,-76.942606,PA,RALSTON,LYCOMING,81,42
42332,37.254932,-87.093802,KY,CLEATON,MUHLENBERG,177,21
45164,39.547637,-83.768468,OH,PORT WILLIAM,CLINTON,27,39
72669,36.071032,-92.891106,AR,PINDALL,SEARCY,129,5
74438,35.529723,-95.759616,OK,HITCHITA,MCINTOSH,91,40
78860,28.533037,-100.342463,TX,EL INDIO,MAVERICK,323,48
96074,39.897012,-122.607436,CA,PASKENTA,TEHAMA,103,6
82050,41.46218,-104.256693,WY,ALBIN,LARAMIE,21,56
79539,33.356176,-99.854694,TX,O BRIEN,HASKELL,207,48
56226,45.38901,-95.685807,MN,CLONTARF,SWIFT,151,27
50104,41.480932,-92.377024,IA,GIBSON,KEOKUK,107,19
40865,36.912589,-83.235298,KY,PUTNEY,HARLAN,95,21
63061,38.259254,-90.813244,MO,LUEBBERING,FRANKLIN,71,29
3883,43.809042,-71.300205,NH,SOUTH TAMWORTH,CARROLL,3,33
12927,44.2413,-74.862072,NY,CRANBERRY LAKE,SAINT LAWRENCE,89,36
50431,42.738283,-93.379872,IA,COULTER,FRANKLIN,69,19
72083,34.589202,-92.00233,AR,KEO,LONOKE,85,5
76958,31.645246,-100.715956,TX,WATER VALLEY,TOM GREEN,451,48
80474,39.889847,-105.577762,CO,ROLLINSVILLE,GILPIN,47,8
82945,41.715627,-108.994656,WY,SUPERIOR,SWEETWATER,37,56
87577,36.668224,-105.979522,NM,TRES PIEDRAS,TAOS,55,35
93605,37.179629,-119.288743,CA,BIG CREEK,FRESNO,19,6
59854,47.245003,-113.131163,MT,OVANDO,POWELL,77,30
73937,36.581404,-102.822857,OK,FELT,CIMARRON,25,40
58847,47.949182,-102.812726,ND,KEENE,MCKENZIE,53,38
68871,41.11947,-98.862514,NE,ROCKVILLE,SHERMAN,163,31
74843,34.661522,-96.766134,OK,FITZHUGH,PONTOTOC,123,40
62928,37.511914,-88.597862,IL,EDDYVILLE,POPE,151,17
42047,37.334766,-88.413153,KY,HAMPTON,LIVINGSTON,139,21
38949,34.194052,-89.357372,MS,PARIS,LAFAYETTE,71,28
42762,37.456993,-86.395626,KY,MILLWOOD,GRAYSON,85,21
7970,40.810961,-74.575269,NJ,MOUNT FREEDOM,MORRIS,27,34
